,beds,baths,size,zip_code,price,price_per_sqft
0,3,3.0,2850.0,98119,1175000.0,41228070.1754386
1,4,5.0,3040.0,98106,1057500.0,34786184.21052632
2,3,1.0,1290.0,98125,799000.0,61937984.49612403
3,3,2.0,2360.0,98188,565000.0,23940677.966101695
4,3,3.5,1942.0,98107,1187000.0,61122554.06797116
5,2,2.0,963.0,98122,701000.0,72793354.10176532
6,1,1.0,756.0,98105,480000.0,63492063.49206349
7,4,6.0,3300.0,98199,1795000.0,54393939.39393939
8,4,2.0,2060.0,98144,1025000.0,49757281.55339806
9,1,1.0,672.0,98122,450000.0,66964285.71428572
10,3,2.5,1760.0,98122,1135000.0,64488636.36363637
11,1,1.5,924.0,98121,568000.0,61471861.471861474
12,3,2.0,2500.0,98136,648000.0,25920000.0
13,2,2.0,1800.0,98199,699950.0,38886111.11111111
14,1,1.0,574.0,98104,429950.0,74904181.18466899
15,2,2.0,2241.0,98112,2450000.0,109326193.66354306
16,3,1.5,2320.0,98109,1275000.0,54956896.551724136
17,2,2.0,1415.0,98125,449000.0,31731448.763250884
18,3,1.5,1750.0,98102,925000.0,52857142.85714286
19,3,3.0,2340.0,98126,974898.0,41662307.692307696
20,4,2.0,1690.0,98168,550000.0,32544378.698224854
21,3,2.5,2320.0,98103,1175000.0,50646551.72413793
22,2,1.0,1760.0,98116,700000.0,39772727.27272727
23,1,1.0,685.0,98121,570000.0,83211678.83211678
24,2,2.0,946.0,98103,690000.0,72938689.21775898
25,3,2.0,1610.0,98146,540000.0,33540372.670807455
26,3,1.0,1390.0,98105,450000.0,32374100.71942446
27,2,1.0,1620.0,98178,487639.0,30101172.83950617
28,4,2.5,2010.0,98136,982000.0,48855721.39303482
29,2,1.5,890.0,98146,510000.0,57303370.78651685
30,2,2.0,964.0,98126,512500.0,53163900.41493776
31,2,1.0,980.0,98144,598000.0,61020408.1632653
32,4,4.0,3310.0,98116,1215000.0,36706948.64048339
33,2,1.0,840.0,98146,485000.0,57738095.23809524
34,2,2.0,1878.0,98115,515000.0,27422790.202342916
35,3,2.0,1910.0,98109,1090000.0,57068062.827225134
36,2,1.0,900.0,98133,474000.0,52666666.666666664
37,3,2.0,2210.0,98118,1425000.0,64479638.00904977
38,3,2.5,2168.0,98119,1700000.0,78413284.13284133
39,3,2.0,2760.0,98105,1235000.0,44746376.8115942
40,2,2.5,2760.0,98105,1440000.0,52173913.04347826
41,2,2.5,1291.0,98144,680000.0,52672347.01781565
42,7,6.0,3780.0,98119,1210000.0,32010582.01058201
43,4,3.0,2190.0,98112,1685000.0,76940639.2694064
44,4,3.5,4027.0,98199,2170000.0,53886267.69307177
45,4,2.5,3410.0,98125,1700000.0,49853372.4340176
46,5,2.0,2470.0,98107,905000.0,36639676.11336032
47,3,2.0,1850.0,98117,890000.0,48108108.10810811
48,4,3.0,2430.0,98106,995000.0,40946502.05761317
49,2,2.0,1395.0,98199,751849.0,53895985.663082436
50,2,1.5,1290.0,98117,869000.0,67364341.08527131
51,4,1.0,1485.0,98178,500000.0,33670033.67003367
52,1,1.0,718.0,98115,525000.0,73119777.15877438
53,3,2.5,2220.0,98177,1350000.0,60810810.81081081
54,2,2.0,899.0,98103,587000.0,65294771.968854286
55,2,1.0,785.0,98102,470000.0,59872611.46496815
56,3,3.0,2225.0,98101,2850000.0,128089887.64044943
57,3,2.0,1648.0,98126,765000.0,46419902.91262136
58,5,3.0,1840.0,98115,650000.0,35326086.95652174
59,3,2.5,1785.0,98144,850000.0,47619047.61904762
60,3,1.5,1520.0,98136,1200000.0,78947368.42105263
61,3,1.5,1460.0,98168,410000.0,28082191.78082192
62,2,2.0,1656.0,98115,642000.0,38768115.942028984
63,3,1.5,1690.0,98105,625000.0,36982248.52071006
64,4,2.5,3200.0,98118,1100000.0,34375000.0
65,2,2.0,1030.0,98112,825000.0,80097087.37864077
66,3,2.5,1220.0,98109,900000.0,73770491.80327868
67,3,2.0,1330.0,98126,705000.0,53007518.79699248
68,2,1.0,877.0,98146,350000.0,39908779.93158495
69,2,2.0,1254.0,98121,1069000.0,85247208.93141946
70,4,3.0,3160.0,98116,1425000.0,45094936.70886076
71,3,2.0,1305.0,98118,714000.0,54712643.67816092
72,3,2.0,2798.0,98109,1185000.0,42351679.77126519
73,4,2.0,2100.0,98199,1000000.0,47619047.61904762
74,3,2.5,1620.0,98117,885000.0,54629629.62962963
75,1,1.0,801.0,98102,499995.0,62421348.31460674
76,5,2.0,2180.0,98144,927500.0,42545871.559633024
77,2,2.0,1025.0,98126,470000.0,45853658.53658537
78,3,2.5,1830.0,98116,1150000.0,62841530.05464481
79,3,2.5,1800.0,98126,715000.0,39722222.222222224
80,3,2.0,2470.0,98105,705000.0,28542510.12145749
81,2,1.0,2090.0,98103,820000.0,39234449.76076555
82,1,1.0,661.0,98102,415000.0,62783661.11951589
83,5,5.0,2440.0,98115,1505000.0,61680327.86885246
84,3,1.5,1770.0,98168,539000.0,30451977.401129942
85,3,2.5,1540.0,98107,756000.0,49090909.09090909
86,5,4.0,3510.0,98199,1735000.0,49430199.43019943
87,5,3.0,2480.0,98126,845000.0,34072580.64516129
88,4,2.5,1690.0,98108,399950.0,23665680.47337278
89,9,6.0,6139.0,98116,2800000.0,45610034.207525656
90,5,4.0,4770.0,98115,1140000.0,23899371.06918239
91,2,2.0,1353.0,98115,749000.0,55358462.67553584
92,3,1.5,1190.0,98108,197009.0,16555378.151260504
93,5,3.5,4280.0,98102,2300000.0,53738317.75700934
94,1,1.0,810.0,98108,385000.0,47530864.197530866
95,3,2.0,1540.0,98108,632500.0,41071428.571428575
96,3,2.5,1660.0,98146,695000.0,41867469.87951807
97,3,2.0,1640.0,98136,907500.0,55335365.853658535
98,2,1.0,1600.0,98117,852500.0,53281250.0
99,4,2.0,1300.0,98146,589950.0,45380769.23076923
100,2,2.0,1192.0,98117,674800.0,56610738.25503356
101,2,1.0,720.0,98106,540000.0,75000000.0
102,2,2.0,1171.0,98103,685000.0,58497011.101622544
103,3,2.5,1390.0,98125,569995.0,41006834.5323741
104,4,1.5,2260.0,98125,678000.0,30000000.0
105,2,1.0,585.0,98107,430000.0,73504273.5042735
106,4,2.5,1333.0,98118,476000.0,35708927.231807955
107,4,1.0,1530.0,98126,565000.0,36928104.5751634
108,2,1.0,1720.0,98144,619000.0,35988372.093023255
109,1,1.0,591.0,98121,405000.0,68527918.78172588
110,2,1.0,839.0,98199,449000.0,53516090.58402861
111,2,2.0,886.0,98116,640000.0,72234762.97968398
112,1,1.0,872.0,98107,550000.0,63073394.49541284
113,4,3.5,2780.0,98146,900000.0,32374100.71942446
114,3,3.5,1770.0,98107,1025000.0,57909604.51977401
115,4,2.5,3096.0,98177,1870000.0,60400516.79586563
116,2,1.0,1750.0,98103,840000.0,48000000.0
117,5,3.0,3110.0,98177,2800000.0,90032154.34083602
118,1,1.0,608.0,98103,360000.0,59210526.315789476
119,2,2.0,866.0,98122,543000.0,62702078.521939956
120,3,2.0,1710.0,98117,1015000.0,59356725.14619883
121,3,2.0,1250.0,98107,750000.0,60000000.0
122,4,2.0,3195.0,98199,1490000.0,46635367.76212832
123,7,3.5,3550.0,98199,1850000.0,52112676.05633803
124,3,1.5,2800.0,98103,1000000.0,35714285.71428572
125,7,7.0,3580.0,98105,1850000.0,51675977.653631285
126,3,3.5,1650.0,98107,1050000.0,63636363.63636363
127,1,1.0,610.0,98119,340000.0,55737704.91803279
128,4,2.0,2950.0,98199,1200000.0,40677966.10169491
129,4,3.0,2480.0,98105,1950000.0,78629032.25806452
130,3,2.0,1600.0,98125,500000.0,31250000.0
131,1,1.0,662.0,98101,685000.0,103474320.24169184
132,4,2.5,2660.0,98122,1745000.0,65601503.7593985
133,4,3.0,2960.0,98178,875000.0,29560810.81081081
134,3,2.5,2060.0,98103,1170000.0,56796116.504854366
135,3,3.0,1860.0,98119,1260000.0,67741935.48387097
136,3,1.5,1833.0,98122,985000.0,53737043.09874523
137,3,2.0,1404.0,98146,449000.0,31980056.98005698
138,3,3.0,1540.0,98122,900000.0,58441558.44155844
139,1,1.0,772.0,98121,439000.0,56865284.974093266
140,4,1.0,2169.0,98118,867000.0,39972337.48271093
